1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,1,0,0
2,3,1,3,1,3,7,5,2,4,4,0,2,4,2,3,1,6,1,3,0,1,2,1,3,2
3,2,1,3,0,1,2,2,2,2,0,0,0,3,1,6,1,1,4,3,2,3,1,3,3,2
4,0,0,1,1,1,1,1,0,5,1,2,0,1,1,0,3,3,1,3,0,1,1,3,0,2
5,2,2,1,2,0,1,3,0,1,1,0,1,4,3,1,0,2,1,0,3,4,4,1,3,1
6,1,2,2,3,3,4,0,0,0,1,0,2,2,0,0,1,0,1,2,4,0,0,0,4,7
7,1,3,2,1,1,2,2,0,1,0,1,0,3,1,0,1,0,1,1,1,1,1,0,1,3
8,0,0,0,2,1,0,2,0,3,0,1,0,1,1,1,0,0,0,0,0,2,0,4,0,4
9,2,1,0,1,1,1,2,2,1,1,2,1,4,2,1,4,2,4,5,2,6,4,5,1,0
10,1,5,0,1,3,3,4,0,4,2,0,1,4,0,1,2,2,2,4,5,2,1,3,2,2
11,1,0,3,0,0,2,4,1,2,3,2,0,0,1,0,0,3,0,1,1,1,3,0,1,1
12,2,0,2,0,0,1,3,1,0,1,2,0,0,2,0,1,1,1,0,2,1,0,0,4,1
13,0,1,2,2,2,0,1,1,0,0,1,2,0,0,2,1,0,1,0,0,1,1,0,0,1
14,2,1,1,0,2,1,0,4,2,3,3,1,1,5,4,2,4,1,2,1,5,6,3,2,1
15,1,1,3,0,2,0,6,1,3,6,0,0,3,0,3,4,6,0,0,2,2,5,0,1,3
16,0,1,0,0,3,0,2,1,2,3,0,0,0,1,0,2,2,3,0,2,3,1,1,2,1
17,1,0,2,7,1,1,2,1,0,0,2,2,2,3,2,3,2,4,5,1,1,0,1,1,3
18,3,3,1,5,4,3,3,3,3,2,1,1,3,4,0,1,5,2,6,1,1,1,3,0,2
19,0,4,1,0,1,0,0,2,1,2,0,2,2,0,1,0,2,1,2,2,1,0,2,1,0
20,3,0,4,2,0,3,2,2,2,3,3,1,5,0,1,2,3,0,3,1,4,0,4,2,4
21,4,0,5,0,1,8,14,0,11,1,0,0,0,2,3,1,10,0,1,0,0,2,0,0,3
22,1,0,6,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,2,0,1,1,0,0,0
23,0,0,1,1,2,0,0,2,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,1,0
24,0,1,3,2,3,1,2,2,2,0,0,0,0,1,1,0,1,1,2,1,0,0,1,1,1
25,3,3,0,3,2,0,2,1,0,2,2,2,2,3,0,2,0,1,2,0,3,0,0,3,1
26,0,1,3,0,0,1,13,1,4,0,1,0,0,0,0,0,5,1,1,0,0,1,1,0,5
27,3,2,1,2,1,4,6,2,3,2,1,1,4,2,1,3,5,4,1,1,4,1,0,1,5
28,1,0,0,0,0,1,2,1,0,0,1,0,2,2,1,0,0,0,3,1,4,0,0,2,3
29,2,1,4,1,3,1,1,0,2,0,1,1,0,2,3,1,2,1,3,0,2,1,1,0,1
30,0,1,2,1,1,0,1,1,0,0,0,1,0,0,2,2,0,0,3,1,0,0,1,2,4
